lead_id,company_name,company_size,job_title,budget,urgency,engagement
L01,瑞星科技,大型,经理,高,中,高
L02,锦程贸易,中型,专员,中,低,中
L03,天启智能,大型,总监,高,高,高
L04,博远咨询,小型,老板,中,高,中
L05,恒信制造,中型,经理,中,中,低
L06,云海网络,大型,专员,高,中,高
L07,新锐传媒,小型,经理,中,低,中
L08,鼎盛集团,大型,总监,高,高,高
L09,丰收农业,中型,老板,中,高,低
L10,极光软件,大型,经理,高,中,高
L11,蓝天文化,小型,专员,低,中,低
L12,华盛物流,大型,经理,中,高,高
L13,康泰医疗,中型,总监,高,高,中
L14,优选电商,小型,专员,中,低,高
L15,恒远金融,大型,老板,高,高,高
L16,星耀设计,小型,经理,中,中,低
L17,创维科技,中型,专员,低,中,中
L18,华东能源,大型,总监,高,中,高
L19,启明教育,中型,经理,中,高,高
L20,宏达建筑,小型,老板,高,低,中
L21,飞腾科技,大型,经理,高,中,高
L22,盛达商贸,中型,专员,中,低,中
L23,未来智能,大型,总监,高,高,高
L24,青禾农业,小型,老板,中,高,中
L25,远航制造,中型,经理,中,中,低
L26,星云软件,大型,专员,高,中,高
L27,晨曦传媒,小型,经理,中,低,中
L28,华宇集团,大型,总监,高,高,高
L29,金桥物流,中型,经理,中,高,高
L30,安康医疗,小型,老板,高,低,中
