lead_id,company_name,grade,total_score,priority,next_action,channel,due_date,status
L03,天启智能,A,100,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L08,鼎盛集团,A,100,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L15,恒远金融,A,100,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L23,未来智能,A,100,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L28,华宇集团,A,100,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L18,华东能源,A,92,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L01,瑞星科技,A,86,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L10,极光软件,A,86,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L12,华盛物流,A,86,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L21,飞腾科技,A,86,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L13,康泰医疗,A,84,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L06,云海网络,A,80,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L26,星云软件,A,80,高,当天联系并预约产品演示,电话,2026-07-30,待跟进
L19,启明教育,B,78,中,发送案例并确认具体需求,企业微信,2026-08-02,待跟进
L29,金桥物流,B,78,中,发送案例并确认具体需求,企业微信,2026-08-02,待跟进
L04,博远咨询,B,69,中,发送案例并确认具体需求,企业微信,2026-08-02,待跟进
L09,丰收农业,B,69,中,发送案例并确认具体需求,企业微信,2026-08-02,待跟进
L24,青禾农业,B,69,中,发送案例并确认具体需求,企业微信,2026-08-02,待跟进
L20,宏达建筑,B,62,中,发送案例并确认具体需求,企业微信,2026-08-02,待跟进
L30,安康医疗,B,62,中,发送案例并确认具体需求,企业微信,2026-08-02,待跟进
L05,恒信制造,C,55,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L25,远航制造,C,55,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L14,优选电商,C,50,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L02,锦程贸易,C,49,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L17,创维科技,C,49,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L22,盛达商贸,C,49,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L07,新锐传媒,C,48,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L16,星耀设计,C,48,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L27,晨曦传媒,C,48,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
L11,蓝天文化,C,35,低,发送培育内容并观察后续互动,企业微信,2026-08-06,待跟进
