lead_id,company_name,company_size_score,job_title_score,budget_score,urgency_score,engagement_score,total_score,grade
L03,天启智能,20,20,20,20,20,100,A
L08,鼎盛集团,20,20,20,20,20,100,A
L15,恒远金融,20,20,20,20,20,100,A
L23,未来智能,20,20,20,20,20,100,A
L28,华宇集团,20,20,20,20,20,100,A
L18,华东能源,20,20,20,12,20,92,A
L01,瑞星科技,20,14,20,12,20,86,A
L10,极光软件,20,14,20,12,20,86,A
L12,华盛物流,20,14,12,20,20,86,A
L21,飞腾科技,20,14,20,12,20,86,A
L13,康泰医疗,12,20,20,20,12,84,A
L06,云海网络,20,8,20,12,20,80,A
L26,星云软件,20,8,20,12,20,80,A
L19,启明教育,12,14,12,20,20,78,B
L29,金桥物流,12,14,12,20,20,78,B
L04,博远咨询,5,20,12,20,12,69,B
L09,丰收农业,12,20,12,20,5,69,B
L24,青禾农业,5,20,12,20,12,69,B
L20,宏达建筑,5,20,20,5,12,62,B
L30,安康医疗,5,20,20,5,12,62,B
L05,恒信制造,12,14,12,12,5,55,C
L25,远航制造,12,14,12,12,5,55,C
L14,优选电商,5,8,12,5,20,50,C
L02,锦程贸易,12,8,12,5,12,49,C
L17,创维科技,12,8,5,12,12,49,C
L22,盛达商贸,12,8,12,5,12,49,C
L07,新锐传媒,5,14,12,5,12,48,C
L16,星耀设计,5,14,12,12,5,48,C
L27,晨曦传媒,5,14,12,5,12,48,C
L11,蓝天文化,5,8,5,12,5,35,C
